Cluster,ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
0.0,5590.76,1968.78,51832.36,0.45,0.51,49.17,304.52,26.32,164.31,37.48,27.14,43.97,2.31,4.09,2.62,5.8,5.33,0.07,0.07,0.07,0.06,0.01,0.01,3.0,11.0,0.15
1.0,5070.75,1977.75,119409.75,0.25,0.25,43.5,19.25,4.75,1663.5,5.25,1.75,1.75,11.25,0.0,26.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
2.0,9432.0,1977.0,666666.0,1.0,0.0,23.0,9.0,14.0,18.0,8.0,1.0,12.0,4.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
