Cluster,Year_Birth,Education,Marital_Status_0,Marital_Status_1,Marital_Status_2,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.44,1.0,0.0,1.0,1.0,3.23,0.0,0.0,0.0,-0.35,-0.34,-0.2,7.51,-0.22,-0.2,-0.49,6.5,-1.0,6.5,-1.0,-1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.39,0.0,0.0,1.0,0.0,18.87,1.0,0.0,0.0,-0.52,-0.34,0.19,-0.23,-0.09,-0.21,-0.26,1.0,-0.25,-0.25,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
